#,Were you aware of [GOLD](https://gold.designsystemau.org/) - the community supported Australian Government Design System - before receiving this survey?,How did you find out about GOLD?,Other,Have you used GOLD or the Australian Government Design System (AuDS) before?,A commonwealth government website or digital service,A non-commonwealth government website (eg state or local gov),A non-government commercial project,A non-government personal or open source project,None of the above,Which features or tools have you found most useful? ,What parts of the current system could be improved?,"When previously supported by the DTA, were there any support services they provided you relied on?","If your government organisation is not using GOLD (or AuDS), what other design systems, component libraries or starter themes are you using instead?","Are there any components, templates or integrations that you’d like to see added to GOLD? ",Are there any barriers to using GOLD within your team or organisation?,"If you’re not currently using GOLD, what features or support services would make it more compelling?","Are you interested in joining the Steering Committee or otherwise making contributions to GOLD?
",Are you a member of the [Design System Slack?](https://designsystemau-slack.herokuapp.com/),Have you participated in the Australian Government Digital Community of Practice?,What did you find valuable about these communities?,What has stopped you from joining these communities?,Where are you based?,Other,You are primarily working:,Other,Your role is primarily in:,Other,Would you recommend GOLD to others?,Did you find this survey easy to complete?,Anything else you’d like to share with us?,Start Date (UTC),Submit Date (UTC),Network ID
j2xe4caakf11zcf5j2xec8m4zv87afa2,0,,,0,,,,,,,,,LogLaw,LogLaw,No,N a,1,0,0,,My company has not been focusing on Australia,,,In a studio or consultancy with government clients,,Development,,1,Yes. Very easy to use,N / A,2021-12-11 00:49:21,2021-12-11 00:52:44,bdc9c856c0
5su0fiwdln8ikacz5su0fiw1uqb2iogn,0,,,0,,,,,,,,,Govcms,Not at the moment,No,Not sure,0,0,0,,Nothing,Australian Capital Territory,,In a commonwealth government agency,,Development,,1,Would prefer multiple choice questions and to include written fields as optional,,2021-12-10 04:27:36,2021-12-10 04:31:09,ab3aa652b0
v1v5x4vj2ukd024iqiv1v5l9ewbod7qy,0,,,0,,,,,,,,,,"More on general purpose components that can be reused. If consumers have to deviate or create their own versions of an existing component or add new ones, there clearly is something missing in system and collaboration is poor. All UI if consuming from a design system should directly come from that system alone.",See my previous answer,Get every team using the system to collaborate with each other when adding new features or making changes.,1,0,0,,I don't work for any au govt organisations,New South Wales,,,,UX Design,,0,,,2021-12-10 02:08:46,2021-12-10 02:14:21,562202331c
ozk7fetrr7bwlbf4ozk7fswqj35eb266,0,,,1,,,,,None of the above,"I just point and say ""use that""",Unsure,Unsure,github.com/digitalnsw/nsw-design-system,Unsure,Less value than NSW DDS,Unsure,0,0,1,openness?,Not being relied on by my clients.,Victoria,,In a state government agency,,Leading Teams,,1,yep,"Important context of this survey is the design system landscape. NSW has two design systems, one seems to be a (tech debt) fork for ServiceNSW use of React. I know of the national one. Not up to date on other states. Where do all these sit in context?",2021-12-09 23:48:28,2021-12-10 02:04:24,6c79af950c
luo3d5itfvp1gwcluo3y3qvyy98l95jz,0,,,1,,A non-commonwealth government website (eg state or local gov),,,,Components,Add patterns (https://design-system.service.gov.uk/patterns/),"COP, reference docs and government mandate",https://www.digital.nsw.gov.au/delivery/digital-service-toolkit/design-system or https://design-system.service.gov.uk/,Components and templates for Oracle B2C,We are not resourced,Government mandate and support,0,0,1,Connecting with public servants across australia and resources,Nothing,,,In a state government agency,,Content,,1,,,2021-12-09 01:14:23,2021-12-09 01:23:48,8406916bf5
o1whuh3tbegxjmn6w39o1wh7e3qfbk57,1,Social Media,,1,A commonwealth government website or digital service,,,,,"Core components
Rationales
Accessibility","Typesetting
Colour system (Currently dark and very ""government"")
Core iconography
Layout components
Navigation components",No,Our own design system. We've built one internally to scaffold projects,"Lists and collections to arrange content in a meaningful way. For example a search results list, or card collection",No,A wider range of navigation components,,1,1,Discussion around the grey areas of accessibility i.e. how different people interpret the guidelines and success criteria,,,Queensland,In a studio or consultancy with government clients,,UX Design,,1,Yes,,2021-12-08 21:41:19,2021-12-08 21:55:32,25264d15e9
9224f4nhxbuqex9jm9224f4nbqrylalw,0,,,0,,,,,,,,,Chakra UI,n/a,integration with design tokens,"usage of design tokens, available react library",0,0,0,,time,,,In a studio or consultancy with government clients,,Development,,0,"yes, love the keyboard shortcuts",,2021-12-07 00:30:50,2021-12-07 00:36:35,0f42a4ce48
l2f21xbutetgdkpl2f21x2ozdbu7w2rq,1,,Google,0,,,,,,,,,Building our own design system,"Time picker, date picker, table variants with controls inside including checkboxes and radio buttons, textarea with number of remaining characters, validation examples of fieldsets with radios/checkboxes, variant of  with custom styled options, select with autocomplete, multiselect, main nav with submenus, dropdown (button triggering list of actions), modal and more...",Lack of components needed for our designs,More components,1,1,0,,I don't know what is Australian Government Digital Community of Practice,Australian Capital Territory,,In a commonwealth government agency,,Accessibility,,1,It was easy,Great initiative overall,2021-12-01 11:55:06,2021-12-01 12:10:33,61e83996cf
bt0rik18lvdfobt0r6cxxlmejwepcoso,1,Word of mouth,,0,,,,,,,,,AgDS,Not familiar with the components,Organisation is developing its own DS,"Sorry, not enough knowledge",0,0,0,,Only worked in state gov,New South Wales,,In a commonwealth government agency,,UX Design,,1,Many questions only apply if you've used GOLD DS,,2021-12-01 05:48:34,2021-12-01 05:52:06,a7330366f4
wj6ksg49yzcu80nvedywj6ksg430yrl6,1,Slack,,1,A commonwealth government website or digital service,,,,,"DS component library documentation
Starter templates","Pattern documentation
Component library documentation: e.g. Storybook
New components",DS documentation on website,,"Date picker
Loader
Modal
Upload file
Progress bar
Tooltip
Form layout (pattern)",Confidence in ongoing upkeep and improvement,'-,0,1,1,Troubleshooting,,New South Wales,,In a commonwealth government agency,,UX Design,,1,,nope :),2021-11-30 07:17:34,2021-11-30 07:29:45,4059eca2c0
gacatxygqukoxp9jgbgacun87wv31bmn,1,Word of mouth,,1,A commonwealth government website or digital service,,,,,"forms, layouts, buttons, content",distribution,documentation,,n/a,none,none,0,0,0,,no interest,New South Wales,,In a commonwealth government agency,,Development,,1,,,2021-11-29 22:04:39,2021-11-29 23:10:11,8ac1ffedff
m5sgjlarmv1demf6eqsgtxqm5sgjlare,1,Slack,,1,A commonwealth government website or digital service,A non-commonwealth government website (eg state or local gov),,,,"Atomic design
Documentation
Templates or pages which bring components together","1. Circa 400 websites use the AuDS, and yet very few components exist. New components should be added. 
2. Documentation (design principles, accessibility etc. should be improved.
3. Should be technology agnostic","Community of practice
Reference documents
Announcements","For other projects we use (and have been involved in the development of) design systems for the NSW, Qld, and Tas Gov","Navigation & interaction patterns (besides breadcrumbs and on this page navigation)
Header patterns
Footer patterns",Harder to get buy-in from stakeholders without the support from the DTA.,"Dedicated product design & management, release roadmaps, ability to vote on features/components",1,0,0,,Less welcoming for non-government employees,New South Wales,,In a studio or consultancy with government clients,,UX Design,,1,,,2021-11-29 22:24:22,2021-11-29 22:41:59,926e47e56b
suul79xo2ez4w9wsuul71rhnoobyjmeg,1,Word of mouth,,1,A commonwealth government website or digital service,,,,,Good patterns for basic a11y to follow that are research-backed (ie. the focus state across the board — often goes overlooked),"Modern implementation(s), and richer catalogue including some of the enhancements made in forks that the main system could pull in (such as the Health system)",Only the docs site. I didn't experience much else from the DTA,"I've been involved in custom implementations of Material, often themed to meet existing brand guidelines","I'd like to see further form components focused on, given the theory of change around GOLD may have less impact on Depts/Agencies adopting it for their content-focused sites (with CMS considerations) and more for interactive features (forms — Census // account pages — Exports // DVA MyService)

- more custom variants for data types with error prevention (date, address, etc.)
- upload front end
- more good practice form flow & a11y options (ala https://design-system.service.gov.uk/patterns/confirmation-pages/)",Buy in for rework of existing site. I think adoption of the GOLD system may struggle from a purely content site perspective. HMW focus effort on new initiatives / products to show and prove value over time so that when redesign money for main content sites come around GOLD is a viable contender in the decision process,n/a,1,1,0,,"Lack of time & interest, and my own reluctance",Australian Capital Territory,,In a studio or consultancy with government clients,,UX Design,,1,"A few spots where answers felt a bit open ended, but great otherwise","The greatest shift you may be able to make anytime soon with GOLD is proving it can consume community feedback and evolve at pace — and focus on its value proposition to make it a less risky investment for an organisation. Every argument I've heard against it is ""it's dead and incomplete, and shows no real momentum towards a better state in comparison to X and Y"". Prove 'em wrong :)",2021-11-29 21:41:36,2021-11-29 21:58:18,b46987b40a
